,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2018-19,1610612753,ORL,Orlando Magic,0021801222,2019-04-10T00:00:00,ORL @ CHA,W,48.0,1.432841879328396,-0.08951603781356107,0.545,-0.0766767272865711,-0.24952748289799045,0.367,-0.42512999169375926,-0.3949015352135777,0.75,-0.34319059476634944,-0.8545557389829284,-0.8979245513813531,-0.08365454858330108,-2.0505944354268997,-0.8818405553784118,-1.1836728271733903,-0.37286033112846223,-0.41905700075819574,-1.6108601678379006,0.9645932698182079,8.0,1,1,1,1,135,201,1301,149,1110,1381,1049,1513,1526,1379,1362,1905,1966,1208,18,1855,2069,731,737,2311,447,674
1,2018-19,1610612763,MEM,Memphis Grizzlies,0021801225,2019-04-10T00:00:00,MEM vs. GSW,W,48.0,1.432841879328396,1.3980582912266086,0.49,2.6462718783066634,1.9850440895706891,0.457,-0.42512999169375926,-0.6662625483452571,0.833,1.2733045073014706,-0.10922420968878438,0.6343672659780525,0.11435047871338293,-0.7676304975022431,0.48244741223712295,-1.9944853232183175,0.03254591689400134,-0.6574176341741367,-0.8957782675900775,1.798985121465583,15.0,1,1,1,1,135,201,232,674,23,73,296,1513,1774,633,239,1276,628,1018,444,615,2420,1133,534,1928,107,351
2,2018-19,1610612741,CHI,Chicago Bulls,0021801224,2019-04-10T00:00:00,CHI @ PHI,L,48.0,0.8357491891379778,0.9517859925145591,0.474,-0.6212664484052178,-1.087491822573745,0.375,-1.256710662248582,-1.073304068042776,0.667,-0.34319059476634944,-0.8545557389829284,-0.8979245513813531,-0.677669630473352,-1.5374088602570373,-1.2229125472822957,-0.7782665791509267,2.0595771570063186,-1.8492208012538423,-2.325942068085724,-0.1201161373233778,-16.0,1,1231,1231,1231,135,478,432,955,1643,2090,956,2177,2083,2021,1362,1905,1966,1752,96,2133,1731,2350,40,2439,1374,2111
3,2018-19,1610612742,DAL,Dallas Mavericks,0021801227,2019-04-10T00:00:00,DAL @ SAS,L,48.0,-0.7564979847031369,0.35675626089849,0.407,-0.0766767272865711,0.7280975800570569,0.297,-1.4230267963595464,-1.480345587740295,0.75,-0.8820222954556227,0.07710867263475085,-0.43823700617353123,0.5103605333067499,-1.7940016478419685,-0.8818405553784118,-0.37286033112846323,-1.183672827173389,-0.41905700075819574,-1.6108601678379006,-1.3717039147944405,-11.0,1,1231,1231,1231,135,1858,896,2089,1110,534,1828,2271,2287,1379,1881,1101,1591,696,35,1855,1329,146,737,2311,2235,1929
4,2018-19,1610612749,MIL,Milwaukee Bucks,0021801226,2019-04-10T00:00:00,MIL vs. OKC,L,48.0,0.4376873956776994,1.6955731570346448,0.43,1.0125027149507229,1.9850440895706891,0.326,-0.42512999169375926,-0.25922102864773816,0.714,0.1956411059229238,1.3814388488995026,1.247283992921816,0.5103605333067499,0.25874065283748243,-0.19969657157064433,-1.589079075195854,-0.7782665791509256,-1.6108601678379006,-0.18069636734225428,0.4639581588297832,-11.0,1,1231,1231,1231,135,760,153,1782,336,73,1515,1513,1374,1707,868,201,267,696,1390,1203,2316,393,80,1295,801,1929
5,2018-19,1610612743,DEN,Denver Nuggets,0021801228,2019-04-10T00:00:00,DEN vs. MIN,W,48.0,-0.3584361912428585,-0.23827347071757757,0.448,-0.34897158784589427,0.1694546869398869,0.303,-1.0903945281376175,-0.8019430549110966,0.647,0.4650569562675606,1.1951059665759662,1.247283992921816,-0.2816595758799846,-0.25444492233238053,-0.5407685634745282,-0.37286033112846323,-1.9944853232183157,-2.087581434669783,0.29602489948962746,-0.954507988970753,4.0,1,1,1,1,135,1496,1438,1448,1372,972,1785,2083,1894,2154,649,288,267,1394,890,1543,1329,1,23,823,2012,977
6,2018-19,1610612755,PHI,Philadelphia 76ers,0021801224,2019-04-10T00:00:00,PHI vs. CHI,W,48.0,2.228965466248953,0.6542711267065245,0.559,0.19561813327275246,-0.8081703760151605,0.462,-1.4230267963595464,-1.073304068042776,0.6,-0.34319059476634944,0.6361073196053586,0.3279089025061715,1.104375615196801,-1.7940016478419685,-1.2229125472822957,2.0595771570063186,-0.7782665791509256,-2.325942068085724,-1.8492208012538423,1.2149108253124203,16.0,1,1,1,1,135,53,626,94,864,1883,267,2271,2083,2311,1362,610,893,308,35,2133,53,393,11,2382,315,303
7,2018-19,1610612744,GSW,Golden State Warriors,0021801225,2019-04-10T00:00:00,GSW @ MEM,L,48.0,1.0347800858681175,0.5055136938025081,0.5,0.46791299383207563,-0.24952748289799045,0.433,-0.9240783940266529,-1.2089845746086154,0.857,-0.34319059476634944,-0.8545557389829284,-0.8979245513813531,1.5003856697901679,0.0021478652525513085,-1.5639845391861793,0.03254591689400054,-1.9944853232183157,-0.8957782675900775,-0.6574176341741367,0.5473973439945212,-15.0,1,1231,1231,1231,135,360,755,535,646,1381,427,1967,2157,451,1362,1905,1966,175,1135,2301,917,1,376,1725,733,2080
8,2018-19,1610612760,OKC,Oklahoma City Thunder,0021801226,2019-04-10T00:00:00,OKC @ MIL,W,48.0,1.432841879328396,1.5468157241306266,0.485,3.1908615994253107,3.1023298758050286,0.426,-1.5893429304705111,-1.3446650811744554,0.615,-0.34319059476634944,1.754104613546574,1.247283992921816,3.0844258881636377,-0.25444492233238053,-0.19969657157064433,-0.7782665791509267,-1.5890790751958526,-0.18069636734225428,-1.6108601678379006,1.3817891956418964,11.0,1,1,1,1,135,201,189,762,8,15,478,2329,2234,2274,1362,110,267,5,890,1203,1731,42,940,2311,249,493
9,2018-19,1610612759,SAS,San Antonio Spurs,0021801227,2019-04-10T00:00:00,SAS vs. DAL,W,48.0,0.039625602217419884,-0.08951603781356107,0.466,-0.8935613089645414,-1.087491822573745,0.333,-0.42512999169375926,-0.6662625483452571,0.833,-0.6126064451109863,1.9404374958701103,1.247283992921816,-0.4796646031766686,-0.7676304975022431,-0.5407685634745282,-1.1836728271733903,-0.37286033112846223,-1.6108601678379006,-0.41905700075819574,-0.4538728779823282,11.0,1,1,1,1,135,1130,1301,1120,1907,2090,1396,1513,1774,633,1623,75,267,1558,444,1543,2069,731,80,1522,1659,493
10,2018-19,1610612762,UTA,Utah Jazz,0021801229,2019-04-10T00:00:00,UTA @ LAC,L,53.0,0.35131549709669535,1.1005434254185755,0.443,0.38057313289795325,-0.012367764121833692,0.4,1.4482800472542752,0.9465434730977422,0.879,1.380054183853119,0.30563013208814477,1.036232478455331,0.7233093362484662,0.360409493201323,-0.11603740374516365,2.044278808024339,-0.15868344538074552,0.23306171330428485,0.8806830569249549,1.137768937141249,-6.0,1,1231,1231,1231,21,279,32,1527,462,728,673,93,212,324,92,366,83,232,1809,870,20,1133,1822,171,53,1566
11,2018-19,1610612748,MIA,Miami Heat,0021801221,2019-04-10T00:00:00,MIA @ BKN,L,48.0,-0.5574670879729983,1.3980582912266086,0.388,-0.8935613089645414,1.2867404731742262,0.195,-1.256710662248582,-1.073304068042776,0.667,-0.6126064451109863,2.1267703781936467,1.400513174657756,-0.4796646031766686,0.25874065283748243,0.48244741223712295,-0.37286033112846323,-0.7782665791509256,-2.087581434669783,-1.8492208012538423,-1.3717039147944405,-19.0,1,1231,1231,1231,135,1678,232,2266,1907,237,2380,2177,2083,2021,1623,43,211,1558,1390,615,1329,393,23,2382,2235,2211
12,2018-19,1610612751,BKN,Brooklyn Nets,0021801221,2019-04-10T00:00:00,BKN vs. MIA,W,48.0,0.4376873956776994,3.778177217690882,0.377,2.6462718783066634,3.6609727689221976,0.362,-1.92197519869244,-2.158748120569493,0.857,2.6203837590246546,2.499436142840718,3.545721718960925,0.9063705879001169,-0.5110377099173117,-0.19969657157064433,-0.7782665791509267,-0.37286033112846223,-1.8492208012538423,-2.087581434669783,0.21364060333557083,19.0,1,1,1,1,135,760,12,2330,23,8,1130,2408,2440,451,23,20,3,410,636,1203,1731,731,40,2422,1031,226
13,2018-19,1610612765,DET,Detroit Pistons,0021801223,2019-04-10T00:00:00,DET @ NYK,W,48.0,0.039625602217419884,-0.5357883365256121,0.482,0.7402078543913996,0.1694546869398869,0.424,0.24013454475009877,-0.3949015352135777,0.95,0.1956411059229238,1.9404374958701103,1.7069715381296378,0.11435047871338293,0.0021478652525513085,-0.8818405553784118,-1.1836728271733903,0.03254591689400134,0.534385532905569,-0.8957782675900775,0.38051897366504694,26.0,1,1,1,1,135,1130,1733,822,462,972,487,903,1526,61,868,75,119,1018,1135,1855,2069,1133,1639,1928,881,97
14,2018-19,1610612737,ATL,Atlanta Hawks,0021801220,2019-04-10T00:00:00,ATL vs. IND,L,48.0,0.4376873956776994,2.141845455746696,0.417,1.5570924360693699,1.2867404731742262,0.415,2.2359281540816736,2.0473475829715353,0.816,3.1592154597139275,0.8224402019288948,2.4731174468093395,0.9063705879001169,0.7719262280073454,-0.8818405553784118,0.8433584129389278,0.8433584129389282,1.0111067997374512,1.7261886999852745,1.9658634917950575,-1.0,1,1231,1231,1231,135,760,75,1967,166,237,564,53,73,803,4,482,23,410,1809,1855,371,1859,1976,115,83,1231
15,2018-19,1610612754,IND,Indiana Pacers,0021801220,2019-04-10T00:00:00,IND @ ATL,W,48.0,0.8357491891379778,1.3980582912266086,0.459,0.19561813327275246,-0.24952748289799045,0.4,2.5685604223036025,2.1830280895373755,0.846,0.734472806612197,-0.8545557389829284,-0.2850078244375904,-0.4796646031766686,-1.5374088602570373,1.5056633879487742,0.8433584129389278,0.8433584129389282,1.7261886999852745,1.0111067997374512,2.0493026769597953,1.0,1,1,1,1,135,478,232,1247,864,1381,673,21,55,548,499,1905,1431,1558,96,149,371,1859,2291,363,68,1176
16,2018-19,1610612766,CHA,Charlotte Hornets,0021801222,2019-04-10T00:00:00,CHA vs. ORL,L,48.0,0.039625602217419884,-1.5770903668537308,0.526,-0.8935613089645414,-0.38918820617728317,0.276,1.0717152153049216,0.5548620107472997,0.889,-1.690269846489533,-1.2272215036299998,-1.9705288235329375,-0.677669630473352,-1.5374088602570373,-1.5639845391861793,-0.37286033112846323,-1.183672827173389,-1.6108601678379006,-0.41905700075819574,0.29707978850030886,-8.0,1,1231,1231,1231,135,1130,2303,300,1907,1510,2022,331,661,257,2360,2150,2400,1752,96,2301,1329,146,80,1522,959,1711
17,2018-19,1610612746,LAC,LA Clippers,0021801229,2019-04-10T00:00:00,LAC vs. UTA,W,53.0,1.6130962763670127,1.1005434254185755,0.509,-0.11264019943591552,-0.8977640475528196,0.429,0.5445244505758265,0.5779020967679138,0.767,0.16005788040570781,0.30563013208814477,0.34236448568880773,1.2612852594696442,-0.8015201109568566,-0.42493279263924694,-0.15868344538074639,2.044278808024339,0.8806830569249549,0.23306171330428485,1.5911743206779354,6.0,1,1,1,1,21,25,32,454,864,1645,449,421,387,1269,649,366,340,84,636,1203,917,2409,2208,486,26,831
18,2018-19,1610612750,MIN,Minnesota Timberwolves,0021801228,2019-04-10T00:00:00,MIN @ DEN,L,48.0,-0.3584361912428585,0.35675626089849,0.429,0.46791299383207563,0.029793963660594208,0.406,-2.2546074669143694,-2.294428627135333,0.667,-0.8820222954556227,-0.10922420968878438,-0.5914661879094721,-0.08365454858330108,-1.0242232850871742,-0.5407685634745282,-1.9944853232183175,-0.37286033112846223,0.29602489948962746,-2.087581434669783,-1.2882647296297025,-4.0,1,1231,1231,1231,135,1496,896,1787,646,1124,643,2447,2450,2021,1881,1276,1720,1208,290,1543,2420,731,1418,2422,2191,1423
19,2018-19,1610612757,POR,Portland Trail Blazers,0021801230,2019-04-10T00:00:00,POR vs. SAC,W,48.0,2.4279963629790933,0.35675626089849,0.582,0.7402078543913996,-1.087491822573745,0.583,-0.25881385758279485,-0.12354052208189865,0.727,1.0038886569568342,-0.8545557389829284,-0.1317786427016503,-1.0736796850667196,-0.25444492233238053,-0.8818405553784118,-1.1836728271733903,-1.5890790751958526,-0.8957782675900775,-0.8957782675900775,2.1327418621245333,5.0,1,1,1,1,135,34,896,31,462,2090,21,1367,1235,1616,356,1905,1283,2083,890,1855,2069,42,376,1928,57,896
20,2018-19,1610612758,SAC,Sacramento Kings,0021801230,2019-04-10T00:00:00,SAC @ POR,L,48.0,1.8309036727886754,1.1005434254185755,0.521,1.829387296628693,1.5660619197328116,0.419,-0.7577622599156885,-0.9376235614769365,0.813,0.4650569562675606,-2.1588859152476796,-1.5108412783251157,0.11435047871338293,-1.0242232850871742,-0.8818405553784118,-1.589079075195854,-1.183672827173389,-0.8957782675900775,-0.8957782675900775,1.715545936300845,-5.0,1,1231,1231,1231,135,89,356,346,106,153,542,1821,1994,820,649,2425,2295,1018,290,1855,2316,146,376,1928,132,1485
21,2018-19,1610612752,NYK,New York Knicks,0021801223,2019-04-10T00:00:00,NYK vs. DET,L,48.0,-1.9506833650839732,-1.7258477997577473,0.403,-0.6212664484052178,-0.24952748289799045,0.3,0.07381841063913437,0.28350099761562064,0.72,-1.690269846489533,-1.0408886213064645,-1.8172996417969967,-0.2816595758799846,-0.7676304975022431,-0.19969657157064433,0.03254591689400054,-1.183672827173389,-0.8957782675900775,0.534385532905569,-1.7888998406181271,-26.0,1,1231,1231,1231,135,2380,2334,2122,1643,1381,1804,1059,868,1684,2360,2035,2375,1394,444,1203,917,146,376,640,2354,2354
22,2018-19,1610612750,MIN,Minnesota Timberwolves,0021801214,2019-04-09T00:00:00,MIN vs. TOR,L,48.0,-0.5574670879729983,0.35675626089849,0.418,0.46791299383207563,1.426401196453519,0.31,-1.0903945281376175,-1.2089845746086154,0.786,-1.4208539961448963,-0.8545557389829284,-1.5108412783251157,0.3123555060100659,-0.5110377099173117,0.8235194041410069,1.6541709089838548,0.03254591689400134,-1.134138901006019,-0.8957782675900775,-0.8710688038060149,-20.0,1,1231,1231,1231,135,1678,896,1951,646,189,1729,2083,2157,1085,2251,1905,2295,858,636,409,112,1133,244,1928,1961,2236
23,2018-19,1610612748,MIA,Miami Heat,0021801212,2019-04-09T00:00:00,MIA vs. PHI,W,48.0,1.0347800858681175,-0.23827347071757757,0.529,0.46791299383207563,-0.6685096527358678,0.481,-0.09249772347183002,0.012139984483941227,0.739,-0.8820222954556227,0.4497744372818233,-0.1317786427016503,0.9063705879001169,0.25874065283748243,-0.5407685634745282,2.0595771570063186,-1.9944853232183157,-0.6574176341741367,-0.41905700075819574,0.9645932698182079,23.0,1,1,1,1,135,360,1438,273,646,1753,182,1201,1111,1517,1881,752,1283,410,1390,1543,53,1,534,1522,447,139
24,2018-19,1610612766,CHA,Charlotte Hornets,0021801209,2019-04-09T00:00:00,CHA @ CLE,W,48.0,0.8357491891379778,-1.5770903668537308,0.577,2.9185667388659864,1.7057226430121035,0.5,-0.9240783940266529,-0.8019430549110966,0.706,-1.4208539961448963,-0.48188997433585684,-1.204382914853234,2.0944007516802188,-1.0242232850871742,0.1413754203332391,0.8433584129389278,-1.183672827173389,-1.8492208012538423,-0.6574176341741367,1.131471640147684,27.0,1,1,1,1,135,478,2303,43,11,123,101,1967,1894,1796,2251,1616,2159,53,290,870,371,146,40,1725,360,79
25,2018-19,1610612757,POR,Portland Trail Blazers,0021801219,2019-04-09T00:00:00,POR @ LAL,W,48.0,-0.7564979847031369,0.2079988279944735,0.411,-0.0766767272865711,0.7280975800570569,0.297,0.24013454475009877,-0.12354052208189865,0.864,0.1956411059229238,-0.10922420968878438,0.021450539034290582,-1.271684712363403,0.0021478652525513085,0.1413754203332391,2.0595771570063186,0.43795216491646466,-1.6108601678379006,-0.41905700075819574,-0.5373120631470663,3.0,1,1,1,1,135,1858,1047,2038,1110,534,1828,903,1235,406,868,1276,1165,2185,1135,870,53,1545,80,1522,1729,1039
26,2018-19,1610612765,DET,Detroit Pistons,0021801210,2019-04-09T00:00:00,DET vs. MEM,W,48.0,-1.1545597781634165,-0.08951603781356107,0.398,-0.34897158784589427,0.3091154102191796,0.294,0.4064506788610636,0.6905425173131395,0.714,1.0038886569568342,-1.5998872682770724,-0.7446953696454122,-1.6676947669567705,-1.2808160726721058,1.8467353798526576,-0.37286033112846323,0.43795216491646466,0.05766426607368659,0.7727461663215098,-0.8710688038060149,7.0,1,1,1,1,135,2135,1301,2180,1372,839,1862,752,571,1707,356,2331,1847,2339,176,76,1329,1545,1167,486,1961,751
27,2018-19,1610612742,DAL,Dallas Mavericks,0021801216,2019-04-09T00:00:00,DAL vs. PHX,W,48.0,0.039625602217419884,0.35675626089849,0.451,1.284797575510046,1.1470797498949343,0.4,0.7390829470829924,0.5548620107472997,0.815,2.081552058335381,2.1267703781936467,2.9328049920171613,0.7083655606034339,2.054890165932002,-0.5407685634745282,0.43795216491646405,0.43795216491646466,0.7727461663215098,0.29602489948962746,0.7977148994887336,11.0,1,1,1,1,135,1130,896,1403,225,297,673,510,661,804,57,43,10,535,2362,1543,603,1545,1822,823,554,493
28,2018-19,1610612738,BOS,Boston Celtics,0021801211,2019-04-09T00:00:00,BOS @ WAS,W,48.0,0.8357491891379778,1.5468157241306266,0.455,1.0125027149507229,1.7057226430121035,0.341,-1.0903945281376175,0.012139984483941227,0.478,0.734472806612197,0.4497744372818233,0.7875964477139942,0.5103605333067499,-2.0505944354268997,0.8235194041410069,-0.7782665791509267,-0.7782665791509256,-0.8957782675900775,-0.6574176341741367,0.4639581588297832,6.0,1,1,1,1,135,478,189,1324,336,123,1386,2083,1111,2444,499,752,521,696,18,409,1731,393,376,1725,801,831
29,2018-19,1610612762,UTA,Utah Jazz,0021801217,2019-04-09T00:00:00,UTA vs. DEN,W,48.0,0.039625602217419884,-1.5770903668537308,0.526,-0.34897158784589427,-0.6685096527358678,0.37,1.4043474835268503,1.5046255567081774,0.765,-0.34319059476634944,0.8224402019288948,0.4811380842421124,-0.08365454858330108,0.25874065283748243,-0.8818405553784118,0.03254591689400054,-0.7782665791509256,0.05766426607368659,1.7261886999852745,0.6308365291592593,10.0,1,1,1,1,135,1130,2303,300,1372,1753,1011,195,167,1282,1362,482,771,1208,1390,1855,917,393,1167,115,669,533
30,2018-19,1610612747,LAL,Los Angeles Lakers,0021801219,2019-04-09T00:00:00,LAL vs. POR,L,48.0,-0.1594052945127188,0.8030285596105411,0.426,-0.34897158784589427,-0.38918820617728317,0.345,-1.0903945281376175,-0.8019430549110966,0.647,1.8121362079907444,-0.10922420968878438,0.9408256294499342,0.9063705879001169,0.7719262280073454,-0.5407685634745282,0.43795216491646405,2.0595771570063186,-0.41905700075819574,-1.6108601678379006,-0.7876296186412787,-3.0,1,1231,1231,1231,135,1319,515,1841,1372,1510,1311,2083,1894,2154,92,1276,426,410,1809,1543,603,2350,737,2311,1908,1359
31,2018-19,1610612739,CLE,Cleveland Cavaliers,0021801209,2019-04-09T00:00:00,CLE vs. CHA,L,48.0,-0.1594052945127188,0.059241395090457,0.449,-0.0766767272865711,-0.24952748289799045,0.367,-1.92197519869244,-2.0230676140036534,0.75,1.0038886569568342,-1.413554385953536,-0.5914661879094721,-0.08365454858330108,0.0021478652525513085,-1.5639845391861793,-1.1836728271733903,0.8433584129389282,-0.6574176341741367,-1.8492208012538423,-1.1213863593002273,-27.0,1,1231,1231,1231,135,1319,1163,1419,1110,1381,1049,2408,2421,1379,356,2244,1720,1208,1135,2301,2069,1859,534,2382,2113,2365
32,2018-19,1610612740,NOP,New Orleans Pelicans,0021801215,2019-04-09T00:00:00,NOP vs. GSW,L,48.0,0.6367182924078381,1.5468157241306266,0.444,-0.6212664484052178,0.1694546869398869,0.273,-1.92197519869244,-1.7517066008719744,0.6,-0.8820222954556227,0.07710867263475085,-0.43823700617353123,0.9063705879001169,-1.0242232850871742,0.48244741223712295,-1.589079075195854,-0.7782665791509256,-1.37249953442196,-0.8957782675900775,-0.6207512483118025,-9.0,1,1231,1231,1231,135,610,189,1518,1643,972,2038,2408,2367,2311,1881,1101,1591,410,290,615,2316,393,151,1928,1796,1788
33,2018-19,1610612764,WAS,Washington Wizards,0021801211,2019-04-09T00:00:00,WAS vs. BOS,L,48.0,0.039625602217419884,1.2493008583225937,0.423,0.7402078543913996,1.0074190266156415,0.359,-0.5914461258047237,-0.6662625483452571,0.778,0.734472806612197,1.9404374958701103,2.013429901601518,0.7083655606034339,0.25874065283748243,-1.9050565310900631,-0.7782665791509267,-0.7782665791509256,-0.6574176341741367,-0.8957782675900775,-0.03667695215864153,-6.0,1,1231,1231,1231,135,1130,293,1878,462,368,1160,1662,1774,1148,499,75,63,535,1390,2400,1731,393,534,1928,1300,1566
