,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,WPCT,SEASON_YEAR-,TEAM_ID-,TEAM_ABBREVIATION-,TEAM_NAME-,GAME_ID-,GAME_DATE-,MATCHUP-,WL-,MIN-,FGM-,FGA-,FG_PCT-,FG3M-,FG3A-,FG3_PCT-,FTM-,FTA-,FT_PCT-,OREB-,DREB-,REB-,AST-,TOV-,STL-,BLK-,BLKA-,PF-,PFD-,PTS-,PLUS_MINUS-,WPCT-
0,2014-15,1610612737,ATL,Atlanta Hawks,21401205,2015-04-13T00:00:00,ATL vs. NYK,L,48.0,0.8125,1.8333333333333333,0.44299999999999995,0.22916666666666666,0.6666666666666666,0.344,0.3958333333333333,0.4791666666666667,0.826,0.25,0.5208333333333334,0.7708333333333334,0.5625,0.16666666666666666,0.20833333333333331,0.0625,0.14583333333333334,0.3541666666666667,0.3958333333333333,2.25,-4.0,0.7407407407407407,2014-15,1610612752,NYK,New York Knicks,21401205,2015-04-13T00:00:00,NYK @ ATL,W,48.0,0.8958333333333334,1.6041666666666667,0.5579999999999999,0.2708333333333333,0.5208333333333334,0.52,0.2708333333333333,0.3958333333333333,0.684,0.1875,0.625,0.8125,0.6875,0.375,0.14583333333333334,0.14583333333333334,0.0625,0.3958333333333333,0.3541666666666667,2.333333333333333,4.0,0.20987654320987653
1,2014-15,1610612737,ATL,Atlanta Hawks,21401176,2015-04-10T00:00:00,ATL vs. CHA,W,48.0,0.8541666666666666,1.7083333333333333,0.5,0.20833333333333331,0.5833333333333334,0.35700000000000004,0.25,0.3333333333333333,0.75,0.1875,0.7291666666666666,0.9166666666666666,0.6458333333333334,0.2916666666666667,0.20833333333333331,0.08333333333333333,0.0625,0.375,0.3125,2.1666666666666665,24.0,0.759493670886076,2014-15,1610612766,CHA,Charlotte Hornets,21401176,2015-04-10T00:00:00,CHA @ ATL,L,48.0,0.625,1.7291666666666667,0.361,0.16666666666666666,0.625,0.267,0.25,0.375,0.667,0.25,0.7083333333333334,0.9583333333333334,0.4375,0.3125,0.16666666666666666,0.0625,0.08333333333333333,0.3125,0.375,1.6666666666666667,-24.0,0.4177215189873418
2,2014-15,1610612737,ATL,Atlanta Hawks,21401154,2015-04-07T00:00:00,ATL vs. PHX,W,48.0,0.8541666666666666,1.7291666666666667,0.494,0.08333333333333333,0.5208333333333334,0.16,0.20833333333333331,0.2916666666666667,0.7140000000000001,0.16666666666666666,0.9583333333333334,1.125,0.4375,0.3125,0.1875,0.08333333333333333,0.125,0.3541666666666667,0.1875,2.0,27.0,0.7532467532467533,2014-15,1610612756,PHX,Phoenix Suns,21401154,2015-04-07T00:00:00,PHX @ ATL,L,48.0,0.5416666666666666,1.7291666666666667,0.313,0.08333333333333333,0.4166666666666667,0.2,0.2708333333333333,0.375,0.722,0.1875,0.5833333333333334,0.7708333333333334,0.3333333333333333,0.3333333333333333,0.10416666666666667,0.125,0.08333333333333333,0.1875,0.3541666666666667,1.4375,-27.0,0.5
3,2014-15,1610612737,ATL,Atlanta Hawks,21401138,2015-04-04T00:00:00,ATL vs. BKN,W,48.0,1.0208333333333333,1.7083333333333333,0.598,0.3541666666666667,0.6875,0.515,0.3333333333333333,0.3958333333333333,0.8420000000000001,0.14583333333333334,0.5625,0.7083333333333334,0.8333333333333334,0.2708333333333333,0.3125,0.08333333333333333,0.04166666666666666,0.3333333333333333,0.3125,2.7291666666666665,32.0,0.75,2014-15,1610612751,BKN,Brooklyn Nets,21401138,2015-04-04T00:00:00,BKN @ ATL,L,48.0,0.8125,1.6666666666666667,0.488,0.20833333333333331,0.4791666666666667,0.435,0.22916666666666666,0.3541666666666667,0.647,0.25,0.5625,0.8125,0.4583333333333333,0.4375,0.14583333333333334,0.04166666666666666,0.08333333333333333,0.3125,0.3333333333333333,2.0625,-32.0,0.4675324675324675
4,2014-15,1610612737,ATL,Atlanta Hawks,21401103,2015-03-30T00:00:00,ATL vs. MIL,W,48.0,0.75,1.6458333333333333,0.456,0.1875,0.6041666666666666,0.31,0.4166666666666667,0.5,0.833,0.25,0.625,0.875,0.6041666666666666,0.22916666666666666,0.10416666666666667,0.08333333333333333,0.04166666666666666,0.4166666666666667,0.4583333333333333,2.1041666666666665,13.0,0.7567567567567568,2014-15,1610612749,MIL,Milwaukee Bucks,21401103,2015-03-30T00:00:00,MIL @ ATL,L,48.0,0.7083333333333334,1.5625,0.45299999999999996,0.08333333333333333,0.3541666666666667,0.235,0.3333333333333333,0.4791666666666667,0.696,0.2708333333333333,0.5416666666666666,0.8125,0.5416666666666666,0.3125,0.08333333333333333,0.04166666666666666,0.08333333333333333,0.4583333333333333,0.4166666666666667,1.8333333333333333,-13.0,0.4864864864864865
5,2014-15,1610612737,ATL,Atlanta Hawks,21401077,2015-03-27T00:00:00,ATL vs. MIA,W,48.0,0.7708333333333334,1.5,0.514,0.125,0.375,0.33299999999999996,0.3958333333333333,0.5,0.792,0.10416666666666667,0.6875,0.7916666666666666,0.6458333333333334,0.3541666666666667,0.25,0.08333333333333333,0.125,0.2708333333333333,0.4166666666666667,2.0625,13.0,0.7638888888888888,2014-15,1610612748,MIA,Miami Heat,21401077,2015-03-27T00:00:00,MIA @ ATL,L,48.0,0.6666666666666666,1.7083333333333333,0.39,0.22916666666666666,0.7291666666666666,0.314,0.22916666666666666,0.3125,0.733,0.22916666666666666,0.625,0.8541666666666666,0.4166666666666667,0.3958333333333333,0.1875,0.125,0.08333333333333333,0.4166666666666667,0.2708333333333333,1.7916666666666667,-13.0,0.4583333333333333
6,2014-15,1610612737,ATL,Atlanta Hawks,21401039,2015-03-22T00:00:00,ATL vs. SAS,L,48.0,0.7916666666666666,1.6666666666666667,0.475,0.25,0.5,0.5,0.14583333333333334,0.14583333333333334,1.0,0.125,0.4791666666666667,0.6041666666666666,0.5208333333333334,0.3958333333333333,0.2708333333333333,0.04166666666666666,0.08333333333333333,0.3125,0.2916666666666667,1.9791666666666667,-19.0,0.7571428571428571,2014-15,1610612759,SAS,San Antonio Spurs,21401039,2015-03-22T00:00:00,SAS @ ATL,W,48.0,0.9583333333333334,1.7083333333333333,0.561,0.14583333333333334,0.3541666666666667,0.41200000000000003,0.3125,0.3541666666666667,0.882,0.20833333333333331,0.6875,0.8958333333333334,0.625,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.04166666666666666,0.2916666666666667,0.3125,2.375,19.0,0.6376811594202898
7,2014-15,1610612737,ATL,Atlanta Hawks,21400939,2015-03-09T00:00:00,ATL vs. SAC,W,48.0,1.1041666666666667,1.8333333333333333,0.602,0.4166666666666667,0.75,0.556,0.08333333333333333,0.14583333333333334,0.5710000000000001,0.20833333333333331,0.4791666666666667,0.6875,0.875,0.2708333333333333,0.16666666666666666,0.125,0.04166666666666666,0.375,0.25,2.708333333333333,25.0,0.7936507936507936,2014-15,1610612758,SAC,Sacramento Kings,21400939,2015-03-09T00:00:00,SAC @ ATL,L,48.0,0.8125,1.6875,0.48100000000000004,0.16666666666666666,0.4166666666666667,0.4,0.3958333333333333,0.4166666666666667,0.95,0.3333333333333333,0.5,0.8333333333333334,0.4375,0.3333333333333333,0.20833333333333331,0.04166666666666666,0.125,0.25,0.375,2.1875,-25.0,0.3387096774193548
8,2014-15,1610612737,ATL,Atlanta Hawks,21400915,2015-03-06T00:00:00,ATL vs. CLE,W,48.0,0.8958333333333334,1.75,0.512,0.125,0.4375,0.28600000000000003,0.2916666666666667,0.3541666666666667,0.8240000000000001,0.22916666666666666,0.5625,0.7916666666666666,0.5625,0.2708333333333333,0.20833333333333331,0.08333333333333333,0.125,0.4583333333333333,0.2916666666666667,2.208333333333333,9.0,0.8032786885245902,2014-15,1610612739,CLE,Cleveland Cavaliers,21400915,2015-03-06T00:00:00,CLE @ ATL,L,48.0,0.6041666666666666,1.4375,0.42,0.2708333333333333,0.7916666666666666,0.342,0.5416666666666666,0.6875,0.7879999999999999,0.20833333333333331,0.5625,0.7708333333333334,0.375,0.375,0.14583333333333334,0.125,0.08333333333333333,0.2916666666666667,0.4583333333333333,2.020833333333333,-9.0,0.609375
9,2014-15,1610612737,ATL,Atlanta Hawks,21400892,2015-03-03T00:00:00,ATL vs. HOU,W,48.0,0.8125,1.7916666666666667,0.45299999999999996,0.16666666666666666,0.6041666666666666,0.276,0.375,0.4375,0.857,0.1875,0.8333333333333334,1.0208333333333333,0.4791666666666667,0.3125,0.0625,0.125,0.125,0.2708333333333333,0.4375,2.1666666666666665,8.0,0.8,2014-15,1610612745,HOU,Houston Rockets,21400892,2015-03-03T00:00:00,HOU @ ATL,L,48.0,0.8125,1.875,0.433,0.2916666666666667,0.8541666666666666,0.341,0.08333333333333333,0.1875,0.444,0.16666666666666666,0.6875,0.8541666666666666,0.625,0.2708333333333333,0.125,0.125,0.125,0.4375,0.2708333333333333,2.0,-8.0,0.6833333333333333
