,Away,Date,Home,MLA,MLH,OU,Spread
0,PHI,2018/10/16,BOS,170,-200.0,208.5,5.0
1,OKC,2018/10/16,GSW,711,-1100.0,223.5,11.5
2,MEM,2018/10/17,IND,263,-325.0,209.0,7.0
3,MIL,2018/10/17,CHA,-165,144.0,217.0,1.5
4,MIA,2018/10/17,ORL,-135,115.0,210.5,2.0
5,BKN,2018/10/17,DET,211,-255.0,212.0,4.5
6,ATL,2018/10/17,NYK,148,-170.0,213.5,3.5
7,CLE,2018/10/17,TOR,797,-1300.0,214.0,11.5
8,NOP,2018/10/17,HOU,278,-345.0,229.5,7.5
9,MIN,2018/10/17,SAS,125,-145.0,210.5,1.0
10,UTA,2018/10/17,SAC,-400,317.0,208.0,7.5
11,DAL,2018/10/17,PHX,-130,110.0,215.0,1.0
12,DEN,2018/10/17,LAC,-125,105.0,227.0,0.0
13,CHI,2018/10/18,PHI,733,-1150.0,215.0,11.0
14,MIA,2018/10/18,WAS,215,-260.0,212.0,4.0
15,LAL,2018/10/18,POR,135,-155.0,222.0,2.5
16,CHA,2018/10/19,ORL,-125,105.0,217.0,0.0
17,NYK,2018/10/19,BKN,148,-170.0,218.5,3.0
18,SAC,2018/10/19,NOP,664,-1000.0,228.0,10.5
19,BOS,2018/10/19,TOR,135,-155.0,206.0,3.0
20,CLE,2018/10/19,MIN,334,-425.0,223.5,8.0
21,ATL,2018/10/19,MEM,237,-290.0,208.5,6.5
22,IND,2018/10/19,MIL,144,-165.0,214.5,3.0
23,GSW,2018/10/19,UTA,-135,115.0,218.0,2.0
24,OKC,2018/10/19,LAC,130,-150.0,215.5,1.5
25,TOR,2018/10/20,WAS,110,-130.0,216.5,1.0
26,BKN,2018/10/20,IND,303,-380.0,210.5,9.0
27,ORL,2018/10/20,PHI,797,-1300.0,217.0,11.5
28,BOS,2018/10/20,NYK,-500,384.0,211.5,8.0
29,CHA,2018/10/20,MIA,135,-155.0,216.5,5.0
30,DET,2018/10/20,CHI,-200,170.0,214.0,2.5
31,MIN,2018/10/20,DAL,110,-130.0,216.0,2.5
32,PHX,2018/10/20,DEN,459,-620.0,223.0,9.0
33,SAS,2018/10/20,POR,172,-205.0,213.0,4.0
34,HOU,2018/10/20,LAL,-160,140.0,235.0,2.0
35,ATL,2018/10/21,CLE,303,-380.0,226.5,5.5
36,SAC,2018/10/21,OKC,477,-650.0,219.5,8.5
37,GSW,2018/10/21,DEN,-189,163.0,230.0,3.0
38,HOU,2018/10/21,LAC,115,-135.0,225.0,2.5
39,CHA,2018/10/22,TOR,317,-400.0,221.0,9.0
40,ORL,2018/10/22,BOS,611,-894.0,212.0,12.0
41,IND,2018/10/22,MIN,110,-130.0,221.5,2.0
42,NYK,2018/10/22,MIL,614,-900.0,222.0,10.0
43,CHI,2018/10/22,DAL,170,-200.0,228.5,4.5
44,MEM,2018/10/22,UTA,506,-700.0,218.0,9.0
45,WAS,2018/10/22,POR,160,-185.0,226.0,4.5
46,SAS,2018/10/22,LAL,110,-130.0,222.5,1.0
47,PHX,2018/10/22,GSW,797,-1300.0,228.5,13.0
48,PHI,2018/10/23,DET,-120,100.0,219.0,3.0
49,LAC,2018/10/23,NOP,203,-245.0,233.0,5.5
50,SAC,2018/10/23,DEN,614,-900.0,227.0,11.5
51,BKN,2018/10/24,CLE,125,-145.0,228.0,3.0
52,DAL,2018/10/24,ATL,-130,110.0,231.5,2.5
53,NYK,2018/10/24,MIA,300,-400.0,224.0,8.0
54,MIN,2018/10/24,TOR,325,-425.0,226.0,8.0
55,CHA,2018/10/24,CHI,-200,170.0,227.0,3.5
56,UTA,2018/10/24,HOU,-105,-115.0,218.5,3.5
57,IND,2018/10/24,SAS,105,-125.0,215.0,2.0
58,PHI,2018/10/24,MIL,180,-220.0,224.5,4.5
59,LAL,2018/10/24,PHX,-230,185.0,234.0,2.0
60,MEM,2018/10/24,SAC,-140,120.0,220.0,2.0
61,WAS,2018/10/24,GSW,450,-650.0,231.5,9.5
62,CLE,2018/10/25,DET,375,-500.0,223.5,6.5
63,POR,2018/10/25,ORL,-170,145.0,219.0,3.5
64,BOS,2018/10/25,OKC,-110,-110.0,209.0,1.5
65,DEN,2018/10/25,LAL,-120,100.0,239.0,3.5
66,CHI,2018/10/26,CHA,450,-650.0,228.0,8.0
67,DAL,2018/10/26,TOR,650,-1000.0,229.0,10.5
68,GSW,2018/10/26,NYK,-1000,650.0,228.0,11.5
69,BKN,2018/10/26,NOP,375,-500.0,234.0,9.5
70,LAC,2018/10/26,HOU,150,-180.0,219.0,3.0
71,MIL,2018/10/26,MIN,-130,110.0,232.0,2.0
72,WAS,2018/10/26,SAC,-240,190.0,236.0,4.5
73,BOS,2018/10/27,DET,-160,140.0,205.5,3.5
74,UTA,2018/10/27,NOP,-260,210.0,226.0,0.0
75,CHA,2018/10/27,PHI,230,-280.0,230.5,6.0
76,CHI,2018/10/27,ATL,190,-240.0,231.5,4.0
77,IND,2018/10/27,CLE,-350,275.0,215.0,6.5
78,POR,2018/10/27,MIA,105,-125.0,222.0,1.0
79,PHX,2018/10/27,MEM,275,-350.0,206.5,9.5
80,LAL,2018/10/27,SAS,-115,-105.0,221.0,1.5
81,ORL,2018/10/27,MIL,375,-500.0,222.0,9.0
82,GSW,2018/10/28,BKN,-650,450.0,226.0,10.0
83,PHX,2018/10/28,OKC,1000,-2000.0,218.0,11.5
84,UTA,2018/10/28,DAL,-200,170.0,217.0,3.5
85,WAS,2018/10/28,LAC,145,-170.0,228.0,4.0
86,ATL,2018/10/29,PHI,650,-1000.0,229.5,11.0
87,POR,2018/10/29,IND,145,-170.0,220.5,3.0
88,SAC,2018/10/29,MIA,375,-500.0,227.0,8.0
89,BKN,2018/10/29,NYK,100,-120.0,217.5,1.5
90,TOR,2018/10/29,MIL,-130,110.0,220.5,1.0
91,GSW,2018/10/29,CHI,-900,600.0,231.0,11.0
92,LAL,2018/10/29,MIN,-125,105.0,238.5,1.0
93,DAL,2018/10/29,SAS,250,-310.0,219.0,6.5
94,NOP,2018/10/29,DEN,375,-500.0,232.5,7.0
95,ATL,2018/10/30,CLE,172,-205.0,226.0,3.0
96,MIA,2018/10/30,CHA,140,-160.0,220.0,3.5
97,SAC,2018/10/30,ORL,170,-200.0,224.0,4.0
98,DET,2018/10/30,BOS,371,-480.0,207.5,8.5
99,PHI,2018/10/30,TOR,215,-260.0,222.0,6.5
100,POR,2018/10/30,HOU,170,-200.0,224.5,2.5
101,LAC,2018/10/30,OKC,144,-165.0,224.0,2.5
102,WAS,2018/10/30,MEM,-105,-115.0,218.5,1.0
103,DET,2018/10/31,BKN,110,-130.0,214.0,1.0
104,DEN,2018/10/31,CHI,-400,317.0,226.5,8.5
105,IND,2018/10/31,NYK,-256,212.0,211.5,5.5
106,UTA,2018/10/31,MIN,-320,260.0,223.0,2.5
107,NOP,2018/10/31,GSW,386,-502.0,234.0,12.0
108,SAS,2018/10/31,PHX,-350,281.0,219.0,7.5
109,DAL,2018/10/31,LAL,318,-402.0,235.0,7.0
110,OKC,2018/11/01,CHA,100,-120.0,227.0,1.0
111,LAC,2018/11/01,PHI,190,-240.0,229.5,4.5
112,DEN,2018/11/01,CLE,-230,185.0,222.0,5.0
113,SAC,2018/11/01,ATL,-135,115.0,230.0,2.0
114,MIL,2018/11/01,BOS,120,-140.0,215.0,3.0
115,NOP,2018/11/01,POR,275,-350.0,237.0,4.0
116,LAC,2018/11/02,ORL,-170,145.0,220.0,3.5
117,HOU,2018/11/02,BKN,-190,160.0,219.5,4.5
118,OKC,2018/11/02,WAS,145,-170.0,233.5,2.5
119,IND,2018/11/02,CHI,-310,250.0,211.5,7.5
120,NYK,2018/11/02,DAL,200,-250.0,216.5,6.0
121,MEM,2018/11/02,UTA,275,-350.0,202.0,8.0
