,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,WPCT,SEASON_YEAR-,TEAM_ID-,TEAM_ABBREVIATION-,TEAM_NAME-,GAME_ID-,GAME_DATE-,MATCHUP-,WL-,MIN-,FGM-,FGA-,FG_PCT-,FG3M-,FG3A-,FG3_PCT-,FTM-,FTA-,FT_PCT-,OREB-,DREB-,REB-,AST-,TOV-,STL-,BLK-,BLKA-,PF-,PFD-,PTS-,PLUS_MINUS-,WPCT-,Away,Date,Home,MLA,MLH,OU,Spread
0,2019-20,1610612746,LAC,LA Clippers,21900002,2019-10-22,LAC vs. LAL,W,48.0,0.8531887559441634,1.8098011581530908,0.4719999999999998,0.2071492943703021,0.5340590964871913,0.38753658536585367,0.46745091271667427,0.5902697883110909,0.7894512195121951,0.20084560515416475,0.7402304801349902,0.9410760852891545,0.4966252492713604,0.3010383110906581,0.14135603620187145,0.09702408344838162,0.12542184384107993,0.48267084675563743,0.49649102623101704,2.333333333333333,10.0,0.5792316348430074,2019-20,1610612747,LAL,Los Angeles Lakers,21900002,2019-10-22T00:00:00,LAL @ LAC,L,48.0,0.863217134529836,1.8889735772357725,0.45813414634146327,0.2139994631078386,0.6247651096793985,0.3452317073170732,0.42321483356343,0.544883225954901,0.7739268292682925,0.23342824819757638,0.7124271360638136,0.9458553842613898,0.49779011351434277,0.2722714373370149,0.17073170731707316,0.12542184384107993,0.09702408344838162,0.49649102623101704,0.48267084675563743,2.125,-10.0,0.4929480489204623,LAL,2019-10-22,LAC,-180,150.0,227.0,1.5
1,2019-20,1610612761,TOR,Toronto Raptors,21900001,2019-10-22,TOR vs. NOP,W,53.0,0.871046371085051,1.8383027265129512,0.4758780487804881,0.2554370249297808,0.6972121610041737,0.3651829268292681,0.3637300582911491,0.4528111792585072,0.8084268292682928,0.19770409175301895,0.7348050261569627,0.9325091179099819,0.525126982930532,0.2890101414433143,0.17081700176142944,0.10995693622355875,0.09270993673664779,0.4335417427043497,0.4229853981200839,2.452830188679245,8.0,0.7669445608180672,2019-20,1610612740,NOP,New Orleans Pelicans,21900001,2019-10-22T00:00:00,NOP @ TOR,L,53.0,0.8302296734743536,1.8488395657785464,0.4494756097560976,0.22159926421970783,0.6434074006485022,0.34124390243902436,0.3526781463732009,0.4606847160290079,0.7603048780487804,0.2176601816441067,0.7055640739800372,0.9232242556241438,0.5060545831548101,0.3079567484435417,0.15649199819096432,0.09270993673664779,0.10995693622355875,0.4229853981200839,0.4335417427043497,2.30188679245283,-8.0,0.4659658850803403,NOP,2019-10-22,TOR,230,-280.0,231.5,-6.5
0,2019-20,1610612747,LAL,Los Angeles Lakers,21900002,2019-10-22,LAL @ LAC,L,48.0,0.8822192820984809,1.8769893772050927,0.47102439024390247,0.2138987958275809,0.64217575548397,0.331170731707317,0.33729770670348214,0.48257976683540427,0.6976829268292684,0.21101779414020558,0.7540698343304187,0.9650876284706246,0.5295242751955821,0.3245177557907655,0.1563171115201718,0.111333218285013,0.10650598251265533,0.42967192053996023,0.4309901825433349,2.125,-10.0,0.48781402721974115,2019-20,1610612746,LAC,LA Clippers,21900002,2019-10-22T00:00:00,LAC vs. LAL,W,48.0,0.8691852661451143,1.923727757324743,0.4523536585365853,0.24487555606688136,0.7026911719588892,0.34676829268292686,0.36840389630311393,0.4698094032827122,0.7862195121951221,0.23358164595796907,0.7381979598097871,0.9717796057677559,0.5189110676484123,0.2953913560362019,0.1725916551618346,0.10650598251265533,0.111333218285013,0.4309901825433349,0.42967192053996023,2.333333333333333,10.0,0.5096966424752225,LAL,2019-10-22,LAC,-180,150.0,227.0,-1.5
1,2019-20,1610612740,NOP,New Orleans Pelicans,21900001,2019-10-22,NOP @ TOR,L,53.0,0.9063314925602091,1.9141356036201869,0.47456097560975574,0.21308387022549477,0.6200001917472004,0.34407317073170723,0.36986117502684474,0.48590178708390863,0.7574634146341462,0.22981860714833566,0.7514908344838168,0.9813094416321522,0.5607071636754105,0.30737076238686917,0.15445236999539808,0.11170712532597024,0.11248370148795833,0.43814714680165684,0.4356544331952754,2.30188679245283,-8.0,0.492309178829375,2019-20,1610612761,TOR,Toronto Raptors,21900001,2019-10-22T00:00:00,TOR vs. NOP,W,53.0,0.8981295060592114,1.9260287237306326,0.466719512195122,0.25482244209234545,0.7003470624328882,0.3650487804878047,0.3720998235925756,0.4872679858874059,0.7645000000000001,0.22723960730173348,0.7228150406504066,0.9500546479521399,0.5503000843687684,0.2816958122411413,0.17761063813468322,0.11248370148795833,0.11170712532597024,0.4356544331952754,0.43814714680165684,2.452830188679245,8.0,0.5043306980418828,NOP,2019-10-22,TOR,230,-280.0,231.5,6.5
5,2019-20,1610612753,ORL,Orlando Magic,21900005,2019-10-23,ORL vs. CLE,W,48.0,0.8381653627857032,1.8473931968093262,0.4542926829268293,0.23657290228562675,0.6650464028225188,0.35691463414634156,0.31145977143733705,0.3984746510200951,0.7820243902439021,0.20814637981285475,0.7340849823592576,0.9422313621721119,0.5296537045559133,0.2737478907807946,0.137310170271514,0.11272338548857187,0.09146820831415862,0.3858337168277344,0.3886284322748887,1.9583333333333333,9.0,0.45155258291302697,2019-20,1610612739,CLE,Cleveland Cavaliers,21900005,2019-10-23T00:00:00,CLE @ ORL,L,48.0,0.8273987574781408,1.8167807562509588,0.4573658536585368,0.21676541647491954,0.6261504832029454,0.35182926829268296,0.3378489799048934,0.433832834790612,0.773512195121951,0.1868192974382574,0.7388307255714065,0.9256500230096638,0.4780545329038197,0.2690309096487191,0.1455361251725725,0.09146820831415862,0.11272338548857187,0.3886284322748887,0.3858337168277344,1.7708333333333333,-9.0,0.48885174340887133,CLE,2019-10-23,ORL,400,-550.0,212.5,-7.5
4,2019-20,1610612766,CHA,Charlotte Hornets,21900003,2019-10-23,CHA vs. CHI,W,48.0,0.8313032924977919,1.8559325592036013,0.4486951219512195,0.24615034435152414,0.7018461618822432,0.35120731707317077,0.3806413348778901,0.47762244050547203,0.7924878048780487,0.20539646047891844,0.7002336671057017,0.9056301275846202,0.4800746557807152,0.2526032988452851,0.14893914208335318,0.10233349731024965,0.12387844417643915,0.3904559814547398,0.42496171667962623,2.625,1.0,0.47663745551185177,2019-20,1610612741,CHI,Chicago Bulls,21900003,2019-10-23T00:00:00,CHI @ CHA,L,48.0,0.8665389894790292,1.8434942819662425,0.47117073170731705,0.2500497550925411,0.6926365107828044,0.3635121951219511,0.32912068039841097,0.41781962935927325,0.7871707317073168,0.20801513216010495,0.7385312032202951,0.9465463353804003,0.5379981790627926,0.27959932108267077,0.14254916662699482,0.12387844417643915,0.10233349731024965,0.42496171667962623,0.3904559814547398,2.6041666666666665,-1.0,0.4941922449278302,CHI,2019-10-23,CHA,-170,145.0,218.5,1.5
3,2019-20,1610612751,BKN,Brooklyn Nets,21900006,2019-10-23,BKN vs. MIN,L,53.0,0.8258994061441218,1.842031611336422,0.4496219512195122,0.2617922639166907,0.7421421902782087,0.35278048780487803,0.3893253735260654,0.5228431446817956,0.746719512195122,0.22491529433604587,0.730291709518545,0.955207003854591,0.48913032663647577,0.30945929556423546,0.13550314969178134,0.08449284502720483,0.10839753401135652,0.4407407087303982,0.45190992805922103,2.3773584905660377,-1.0,0.4534577473379268,2019-20,1610612750,MIN,Minnesota Timberwolves,21900006,2019-10-23T00:00:00,MIN @ BKN,W,53.0,0.8663756029174291,1.8975613250997272,0.45796341463414625,0.21148374928307329,0.6210901754024046,0.3422804878048781,0.3605197174055579,0.46822134918997665,0.769987804878049,0.22565039611382268,0.7239326056763216,0.9495830017901442,0.48651631482157404,0.2769968015055649,0.15999970466523142,0.10839753401135652,0.08449284502720483,0.45190992805922103,0.4407407087303982,2.39622641509434,1.0,0.5052772965865492,MIN,2019-10-23,BKN,142,-165.0,225.5,-5.0
2,2019-20,1610612748,MIA,Miami Heat,21900007,2019-10-23,MIA vs. MEM,W,48.0,0.8239281331492558,1.829095720202485,0.45185365853658527,0.2351731477220431,0.6737469320447922,0.3505731707317073,0.313717594723117,0.4515454824359563,0.6891951219512196,0.2334905660377358,0.7294399064273663,0.962930472465102,0.5046211075318301,0.3062154855039116,0.15893925448688453,0.11358145421076855,0.0986395536125173,0.4338088663905506,0.4185889323515879,2.5,19.0,0.45515713420475723,2019-20,1610612763,MEM,Memphis Grizzlies,21900007,2019-10-23T00:00:00,MEM @ MIA,L,48.0,0.7960528838778953,1.803324896456511,0.4427073170731706,0.24655813775118895,0.6884731170424915,0.35819512195121944,0.36283843380886643,0.4714967786470317,0.7713536585365854,0.21052883877895395,0.7073841846909034,0.9179130234698573,0.4847560975609757,0.29374233011198037,0.15512827887712843,0.0986395536125173,0.11358145421076855,0.4185889323515879,0.4338088663905506,2.1041666666666665,-19.0,0.49622552020395666,MEM,2019-10-23,MIA,240,-300.0,210.5,-7.5
6,2019-20,1610612754,IND,Indiana Pacers,21900004,2019-10-23,IND vs. DET,L,48.0,0.8601060362018715,1.8105250038349439,0.4761951219512196,0.19770095106611446,0.528038234391778,0.37236585365853647,0.3294888019634914,0.43836286240220895,0.7516097560975608,0.1933818453750575,0.7020008820371222,0.8953827274121798,0.5400511965025311,0.2847493864089585,0.1809805951833103,0.10257037122258016,0.10792970547630006,0.40457221199570503,0.41662352354655624,2.2916666666666665,-9.0,0.6344499437689719,2019-20,1610612765,DET,Detroit Pistons,21900004,2019-10-23T00:00:00,DET @ IND,W,48.0,0.8060381193434574,1.7912639975456353,0.4507560975609757,0.23650099708544256,0.6682821368308022,0.35443902439024394,0.3295367387636141,0.4361721506366008,0.7615121951219515,0.21881231784015953,0.6897817916858413,0.9085941095260007,0.5089354195428748,0.32578808099401746,0.15423186071483358,0.10792970547630006,0.10257037122258016,0.41662352354655624,0.40457221199570503,2.4791666666666665,9.0,0.4671970316035973,DET,2019-10-23,IND,240,-300.0,210.0,-5.0
7,2019-20,1610612762,UTA,Utah Jazz,21900011,2019-10-23,UTA vs. OKC,W,48.0,0.8385672054101805,1.7921485141575546,0.46849999999999986,0.2511625500526313,0.7059963316776953,0.3545,0.3894699710660086,0.5293551740006666,0.7383048780487803,0.2072688057719874,0.754394151578146,0.9616629573501331,0.5397321688327489,0.31353807967162306,0.1679029402119005,0.1220117190599362,0.09518959169747848,0.43735404070859196,0.46429187758858725,2.083333333333333,5.0,0.5323638952673787,2019-20,1610612760,OKC,Oklahoma City Thunder,21900011,2019-10-23T00:00:00,OKC @ UTA,L,48.0,0.8286135421129751,1.8350241799831788,0.45231707317073183,0.203700324251128,0.5748913322331014,0.35423170731707315,0.3471498762238763,0.46109234412936206,0.7543902439024386,0.18546020650512288,0.6993671681186557,0.8848273746237785,0.44760987114588136,0.28784841788723675,0.17570655537394667,0.09518959169747848,0.1220117190599362,0.46429187758858725,0.43735404070859196,1.9791666666666667,-5.0,0.5019670200672508,OKC,2019-10-23,UTA,375,-500.0,222.0,-9.5
