,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,WEEKDAY,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,Flux,PrevFlux24,PrevFlux48,SNOW24,SNOW48,SNOW7
0,2010-01-01,0.03,1.6,21.0,26.0,3.0,4,17,-13,-2,-6,-16,-25,6,-4,-6,-137,-106,-91,-36,-24,5,-18,-18,-5,48,-25,19,-15,-23,8,-467,-467.0,-467.0,1.6,1.6,1.6
1,2010-01-02,0.08,2.1,22.0,30.0,13.0,5,13,4,-8,-11,-36,-72,-47,-76,-30,-202,-219,-152,-113,-77,-65,-20,-28,-37,30,31,7,17,-18,10,-1099,-467.0,-467.0,1.6,1.6,1.6
2,2010-01-03,0.21,3.8,24.0,30.0,22.0,6,-9,-3,-11,-13,-13,-62,-26,-49,-67,-128,-181,-121,-121,-3,-48,-35,9,7,65,25,15,16,1,7,-745,-1099.0,-1566.0,2.1,3.7,3.7
3,2010-01-04,0.03,1.2,24.0,27.0,11.0,0,19,16,-2,-5,-32,-49,112,189,110,109,58,22,22,83,19,34,-69,-106,89,-9,18,-6,-30,-11,581,-745.0,-1844.0,3.8,5.9,7.5
4,2010-01-05,0.0,0.0,23.0,30.0,5.0,1,12,7,-2,-12,-30,-34,45,237,157,76,41,-4,-54,-37,-44,-91,-180,-138,18,-35,-10,6,-31,9,-94,581.0,-164.0,1.2,5.0,8.7
5,2010-01-06,0.25,3.9,24.0,29.0,5.0,2,8,-3,-7,-3,-37,-43,48,230,92,96,56,-12,6,8,-29,-88,-175,-159,-11,-22,-6,-11,11,2,-49,-94.0,487.0,0.0,1.2,8.7
6,2010-01-07,0.16,2.8,26.0,33.0,-9.0,3,7,-3,1,-11,-21,-23,60,193,155,75,39,-30,-12,2,-39,-102,-137,-30,-41,4,-1,-3,-11,-3,69,-49.0,-143.0,3.9,3.9,12.6
7,2010-01-08,0.0,0.0,25.0,11.0,-23.0,4,2,-4,-8,0,-3,-53,62,144,120,20,18,45,-18,-17,-57,-62,-93,-45,42,26,60,29,59,24,291,69.0,20.0,2.8,6.7,15.4
8,2010-01-09,0.0,0.0,24.0,13.0,-24.0,5,3,11,-7,-7,-24,-49,-38,-50,-64,-119,-172,-58,-13,-70,-63,-74,-73,30,41,8,5,-25,-10,9,-809,291.0,360.0,0.0,2.8,13.8
9,2010-01-10,0.0,0.0,24.0,19.0,-16.0,6,-4,9,-3,-11,-27,-33,4,-32,-22,-82,-99,-101,-98,-49,-102,-87,-4,50,19,15,14,12,11,-7,-627,-809.0,-518.0,0.0,0.0,11.7
