"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00057936","STEAMBOAT SPRINGS, CO US","2000-01-01","0.00","0.0","16.0","22","1","16"
"USC00057936","STEAMBOAT SPRINGS, CO US","2000-01-02","0.04","1.3","16.0","29","16","23"
"USC00057936","STEAMBOAT SPRINGS, CO US","2000-01-03","0.26","3.8","20.0","29","0","0"
"USC00057936","STEAMBOAT SPRINGS, CO US","2000-01-04","0.03","0.8","20.0","29","-7","-4"
"USC00057936","STEAMBOAT SPRINGS, CO US","2000-01-05","0.26","4.0","22.0","21","17","18"
"USC00057936","STEAMBOAT SPRINGS, CO US","2000-01-06","0.05","1.2","22.0","25","-3","2"
"USC00057936","STEAMBOAT SPRINGS, CO US","2000-01-07","0.00","0.0","22.0","15","-14","-13"
"USC00057936","STEAMBOAT SPRINGS, CO US","2000-01-08","0.00","0.0","22.0","16","6","15"
"USC00057936","STEAMBOAT SPRINGS, CO US","2000-01-09","0.35","6.6","27.0","25","6","24"
"USC00057936","STEAMBOAT SPRINGS, CO US","2000-01-10","0.20","3.1","27.0","28","21","27"
"USC00057936","STEAMBOAT SPRINGS, CO US","2000-01-11","0.04","3.4","29.0","30","24","29"
"USC00057936","STEAMBOAT SPRINGS, CO US","2000-01-12","0.00","0.6","27.0","44","27","27"
"USC00057936","STEAMBOAT SPRINGS, CO US","2000-01-13","0.00","0.0","26.0","44","3","12"
"USC00057936","STEAMBOAT SPRINGS, CO US","2000-01-14","0.00","0.0","26.0","30","0","6"
"USC00057936","STEAMBOAT SPRINGS, CO US","2000-01-15","0.00","0.0","26.0","30","3","24"
"USC00057936","STEAMBOAT SPRINGS, CO US","2000-01-16","0.00","0.0","25.0","40","24","32"
"USC00057936","STEAMBOAT SPRINGS, CO US","2000-01-17","0.12","0.0","22.0","44","28","30"
"USC00057936","STEAMBOAT SPRINGS, CO US","2000-01-18","0.26","0.0","20.0","44","28","33"
"USC00057936","STEAMBOAT SPRINGS, CO US","2000-01-19","0.56","0.0","17.0","40","32","38"
"USC00057936","STEAMBOAT SPRINGS, CO US","2000-01-20","0.00","0.0","15.0","42","20","20"
