,DATE,SNOW,SNWD,TMAX,TMIN,WEEKDAY,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,Flux,PrevFlux24,PrevFlux48,SNOW24,SNOW48,SNOW7,MON,TUE,WED,THU,FRI,SAT,SUN,KMEANS30,KMEANS29,KMEANS28,KMEANS27,KMEANS26,KMEANS25,KMEANS24,KMEANS23,KMEANS22,KMEANS21,KMEANS20,KMEANS19,KMEANS18,KMEANS17,KMEANS16,KMEANS15,KMEANS14,KMEANS13,KMEANS12,KMEANS11,KMEANS10,KMEANS9,KMEANS8,KMEANS7,KMEANS6,KMEANS5,KMEANS4,KMEANS3
0,2003-01-01,0.7,10.0,25.0,11.0,2,-22,3,-6,-10,-7,-42,-11,25,-5,-86,-119,-75,-118,-101,-67,-31,-9,22,49,22,-3,6,-19,-6,-610,-610.0,-610.0,0.7,0.7,0.7,0.0,0.5,1.0,0.5,0.0,0.0,0.0,2,19,19,17,7,19,22,11,12,19,10,5,12,1,0,9,6,12,4,5,8,1,0,0,0,2,0,1
1,2003-01-02,0.5,20.0,29.0,0.0,3,0,-2,1,-14,-44,-86,-92,61,-13,-19,-63,-16,-48,-57,-32,-40,49,-73,32,-8,-18,-15,-37,-9,-543,-610.0,-610.0,0.7,0.7,0.7,0.0,0.0,0.5,1.0,0.5,0.0,0.0,14,0,2,0,8,0,1,14,4,2,2,16,10,10,15,7,12,11,7,3,3,4,4,6,0,2,0,2
2,2003-01-03,0.0,20.0,22.0,0.0,4,-3,6,21,-18,-52,-57,-115,57,94,5,-68,-6,-6,-42,-38,-73,-7,39,85,32,13,27,-17,9,-114,-543.0,-1153.0,0.5,1.2,1.2,0.0,0.0,0.0,0.5,1.0,0.5,0.0,29,16,13,10,6,24,5,18,7,9,18,18,7,16,4,4,5,1,0,6,0,3,2,4,1,1,1,2
3,2003-01-04,0.0,19.0,37.0,11.0,5,3,-11,8,-1,-51,-57,-126,-43,-24,-87,-50,-26,16,2,4,-23,68,45,82,43,20,-28,-22,-13,-271,-114.0,-657.0,0.0,0.5,1.2,0.0,0.0,0.0,0.0,0.5,1.0,0.5,1,5,0,20,15,14,13,7,0,1,0,11,9,2,13,3,9,4,9,1,5,0,5,3,3,3,1,0
4,2003-01-05,0.0,19.0,34.0,19.0,6,-2,3,7,-3,-23,-80,-62,-57,-23,-105,-159,-174,-148,-99,-89,-16,34,71,23,31,8,15,-13,-10,-871,-271.0,-385.0,0.0,0.0,1.2,0.5,0.0,0.0,0.0,0.0,0.5,1.0,7,18,3,8,11,4,19,9,9,4,5,10,5,4,3,6,1,2,11,9,9,5,1,1,2,0,2,0
5,2003-01-06,2.0,20.0,31.0,3.0,0,17,2,10,-9,-64,-90,-99,132,110,16,-11,34,-17,-12,-23,-34,19,-10,-48,-19,-23,-36,-9,-6,-170,-871.0,-1142.0,0.0,0.0,1.2,1.0,0.5,0.0,0.0,0.0,0.0,0.5,3,13,6,5,18,9,11,21,21,16,6,6,15,7,1,2,8,10,2,8,6,2,3,5,5,4,3,1
6,2003-01-07,0.0,20.0,23.0,-5.0,1,18,-3,13,-4,-58,-61,-82,126,86,10,7,23,-36,18,-30,-23,86,16,32,-20,-48,-24,-43,-3,0,-170.0,-1041.0,2.0,2.0,3.2,0.5,1.0,0.5,0.0,0.0,0.0,0.0,27,28,23,6,3,13,9,8,5,8,1,1,6,5,6,14,10,0,1,0,2,8,7,2,4,4,3,1
7,2003-01-08,0.0,19.0,23.0,-3.0,2,11,4,-2,9,-55,-56,-90,88,25,42,18,24,-28,-34,-23,43,57,15,26,-48,-43,-23,-10,-14,-64,0.0,-170.0,0.0,2.0,3.2,0.0,0.5,1.0,0.5,0.0,0.0,0.0,2,19,19,17,7,19,22,11,12,19,10,5,12,1,0,9,6,12,4,5,8,1,0,0,0,2,0,1
8,2003-01-09,0.0,19.0,24.0,-6.0,3,14,-5,13,-12,-60,-65,-116,46,-15,-59,-72,-9,0,-23,-91,27,29,65,52,7,-3,1,-3,1,-278,-64.0,-64.0,0.0,0.0,2.5,0.0,0.0,0.5,1.0,0.5,0.0,0.0,15,0,2,0,8,0,1,14,4,2,2,16,10,10,15,7,12,11,7,3,3,4,4,6,0,2,0,2
9,2003-01-10,0.0,18.0,22.0,0.0,4,2,9,12,-9,-43,-54,-107,67,67,14,-18,24,2,-11,31,10,55,45,132,75,119,90,51,4,567,-278.0,-342.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,6,25,14,24,17,24,21,2,14,5,9,0,0,16,4,11,5,1,0,6,0,3,2,4,1,1,1,2
